Time (s),Altitude (m)
45.3375,324.081632653061
45.41875,324.081632653061
45.5,319.183673469388
45.58125,314.285714285714
45.6625,314.285714285714
45.74375,309.387755102041
45.825,309.387755102041
45.90625,299.591836734694
45.9875,299.591836734694
46.06875,289.795918367347
46.15,284.897959183674
46.23125,284.897959183674
46.3125,284.897959183674
46.39375,280
46.475,270.204081632653
46.55625,265.30612244898
46.6375,265.30612244898
46.71875,265.30612244898
46.8,265.30612244898
46.88125,260.408163265306
46.9625,260.408163265306
47.04375,260.408163265306
47.125,260.408163265306
47.20625,260.408163265306
47.2875,250.612244897959
47.36875,245.714285714286
47.45,245.714285714286
47.53125,240.816326530612
47.6125,240.816326530612
47.69375,235.918367346939
47.775,235.918367346939
47.85625,235.918367346939
47.9375,235.918367346939
48.01875,231.020408163265
48.1,226.122448979592
48.18125,226.122448979592
48.2625,226.122448979592
48.34375,221.224489795918
48.425,216.326530612245
48.50625,211.428571428571
48.5875,206.530612244898
48.66875,206.530612244898
48.75,201.632653061225
48.83125,196.734693877551
48.9125,196.734693877551
48.99375,196.734693877551
49.075,182.040816326531
49.15625,182.040816326531
49.2375,177.142857142857
49.31875,177.142857142857
49.4,182.040816326531
49.48125,182.040816326531
49.5625,182.040816326531
49.64375,172.244897959184
49.725,167.34693877551
49.80625,162.448979591837
49.8875,162.448979591837
49.96875,152.65306122449
50.05,157.551020408163
50.13125,147.755102040816
50.2125,147.755102040816
50.29375,142.857142857143
50.375,137.959183673469
50.45625,133.061224489796
50.5375,123.265306122449
50.61875,123.265306122449
50.7,118.367346938775
50.78125,113.469387755102
50.8625,113.469387755102
50.94375,113.469387755102
51.025,113.469387755102
51.10625,113.469387755102
51.1875,113.469387755102
51.26875,98.7755102040819
51.35,93.8775510204082
51.43125,88.9795918367345
51.5125,88.9795918367345
51.59375,88.9795918367345
51.675,88.9795918367345
51.75625,79.1836734693875
51.8375,74.2857142857142
51.91875,69.387755102041
52,64.4897959183672
52.08125,64.4897959183672
52.1625,59.591836734694
52.24375,59.591836734694
52.325,54.6938775510207
52.40625,49.795918367347
52.4875,49.795918367347
52.56875,49.795918367347
52.65,49.795918367347
52.73125,44.8979591836733
52.8125,44.8979591836733
52.89375,44.8979591836733
52.975,40
53.05625,40
53.1375,40
53.21875,35.1020408163263
53.3,25.3061224489798
53.38125,25.3061224489798
53.4625,20.408163265306
53.54375,15.5102040816328
53.625,15.5102040816328
53.70625,15.5102040816328
53.7875,15.5102040816328
53.86875,10.6122448979595
53.95,5.71428571428578
54.03125,5.71428571428578
54.1125,5.71428571428578
54.19375,5.71428571428578
54.275,-4.08163265306121
54.35625,-4.08163265306121
54.4375,-4.08163265306121
54.51875,-4.08163265306121
54.6,-8.97959183673493
54.68125,-18.7755102040815
54.7625,-23.6734693877552
54.84375,-23.6734693877552
54.925,-28.5714285714284
55.00625,-28.5714285714284
55.0875,-33.4693877551017
55.16875,-33.4693877551017
55.25,-33.4693877551017
55.33125,-33.4693877551017
55.4125,-38.3673469387754
55.49375,-38.3673469387754
55.575,-43.2653061224492
55.65625,-48.1632653061224
55.7375,-48.1632653061224
55.81875,-53.0612244897961
55.9,-53.0612244897961
55.98125,-53.0612244897961
56.0625,-57.9591836734694
56.14375,-62.8571428571427
56.225,-67.7551020408164
56.30625,-72.6530612244897
56.3875,-72.6530612244897
56.46875,-72.6530612244897
56.55,-77.5510204081634
56.63125,-77.5510204081634
56.7125,-82.4489795918366
56.79375,-82.4489795918366
56.875,-82.4489795918366
56.95625,-82.4489795918366
57.0375,-87.3469387755104
57.11875,-92.2448979591836
57.2,-92.2448979591836
57.28125,-92.2448979591836
57.3625,-102.040816326531
57.44375,-102.040816326531
57.525,-106.938775510204
57.60625,-106.938775510204
57.6875,-106.938775510204
57.76875,-111.836734693878
57.85,-116.734693877551
57.93125,-121.632653061225
58.0125,-121.632653061225
58.09375,-121.632653061225
58.175,-121.632653061225
58.25625,-121.632653061225
58.3375,-126.530612244898
58.41875,-126.530612244898
58.5,-131.428571428572
58.58125,-131.428571428572
58.6625,-136.326530612245
58.74375,-141.224489795919
58.825,-141.224489795919
58.90625,-146.122448979592
58.9875,-151.020408163265
59.06875,-155.918367346939
59.15,-160.816326530613
59.23125,-165.714285714286
59.3125,-165.714285714286
59.39375,-175.510204081633
59.475,-180.408163265306
59.55625,-180.408163265306
59.6375,-180.408163265306
59.71875,-180.408163265306
59.8,-180.408163265306
